code,energy_kcal_100g,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,predict
619286609007,345.0,1454.0,2.7,0.6,70.3,2.0,7.2,0.02,0.008,2
9310012005674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7610029115284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5412194198565,418.0,1749.0,5.0,4.0,7.2,0.2,5.7,2.1,0.84,2
0013087188165,425.0,1778.0,23.01,8.85,50.44,31.86,7.08,1.105,0.442,2
4088600339696,156.0,653.0,0.5,0.1001,65.0,0.5,0.5,0.0,0.0,3
688267114465,183.0,766.0,5.0,3.33,28.33,21.67,5.0,0.2075,0.083,3
4047247490153,492.0,2059.0,21.0,10.0,66.0,24.0,7.4,0.49,0.196,2
851801008111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8437008709017,900.0,3766.0,100.0,13.0,0.0,0.0,0.0,0.0,0.0,0
4056489129899,55.0,230.0,2.1,0.2,8.0,7.7,0.5,1.52,0.608,1
3431590008751,177.0,741.0,21.0,0.3,29.0,1.3,8.1,0.69,0.276,3
13251212512000335923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3178880003415,375.0,1569.0,12.0,1.1,61.0,33.0,4.5,0.69,0.276,2
41376200564,429.0,1795.0,0.0,0.0,100.0,85.71,0.0,0.0,0.0,2
70038593478,392.85714285714,1644.0,32.142857142857,17.857142857143,3.5714285714286,0.0,21.428571428571,1.5178571428571,0.60714285714284,2
36800452671,26.0,109.0,0.0,0.0,5.21,2.08,1.04,0.0525,0.021,1
4262378650027,31.0,130.0,0.0,0.0,7.4,7.4,0.0,0.0,0.0,1
3770001168081,171.0,715.0,13.0,2.0,7.0,0.0,3.0,1.0,0.4,3
0227081022961,133.0,556.0,1.9,0.6,8.4,1.5,20.0,1.1,0.44,3
3760226261162,571.0,2389.0,43.0,17.0,36.0,31.0,11.0,0.28,0.112,0
8904082786345,526.66666666667,2204.0,32.0,13.333333333333,56.666666666667,3.0,4.0,1.4,0.56,2
713733608596,142.0,594.0,9.73,0.88,13.27,0.88,5.31,0.9525,0.381,3
5035139218366,900.0,3766.0,100.0,91.0,0.0,0.0,0.0,0.0,0.0,0
2302912001693,222.0,929.0,18.0,6.0,2.0,0.5,13.0,2.0,0.8,3
3256220368414,103.0,438.0,1.63,0.37,0.0,0.0,22.2,0.125,0.05,1
4260289446487,357.0,1494.0,4.2,0.7,30.0,13.8,43.0,1.82,0.728,2
0208151008207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3770010529026,262.0,1096.0,21.4,8.2,0.9,0.4,16.4,1.4,0.56,3
4052600101041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3800078012557,159.0,665.0,13.0,6.3,1.3,0.6,8.7,1.7,0.68,3
4009062337815,16.0,67.0,1.0,0.3,0.3,0.2,1.4,1.0,0.4,1
0901232,30.0,126.0,0.0,0.0,6.0,0.0,0.0,5.0,2.0,1
4337182045533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3760094448696,186.0,778.0,12.0,6.2,5.1,4.3,14.0,1.09,0.436,3
6191428602137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
75277567,171.0,715.0,8.4,1.5,15.0,0.6,7.0,0.76,0.304,3
0042187411460,78.125,327.0,0.0,0.0,19.53125,14.0625,0.78125,0.0,0.0,1
8717524109233,258.0,1079.0,17.0,10.0,22.0,19.0,5.0,0.0,0.0,3
2110474005352,230.0,962.0,9.4,3.8,3.8,0.0,35.0,4.5,1.8,3
3534442654998,822.0,3439.0,91.0,15.0,0.0,0.0,0.0,0.0,0.0,0
3449865294044,390.0,1620.0,31.0,13.0,1.8,1.3,26.0,5.0,2.0,2
11110029409,40.983606557377,171.0,0.0,0.0,9.016393442623,8.1967213114754,0.0,0.0,0.0,1
3661273099008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
70038343400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
231033210049600360001792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
850012117025,321.42857142857,1345.0,21.428571428571,12.5,35.714285714286,32.142857142857,3.5714285714286,0.089285714285715,0.035714285714286,2
72250029001,368.0,1540.0,10.53,3.51,66.67,45.61,1.75,0.745,0.298,2
3036810050123,33.0,138.0,0.7,0.4,6.1,0.4,0.6,0.29,0.116,1
22735920392,429.0,1795.0,17.86,5.36,60.71,35.71,3.57,1.0275,0.411,2
8427483216353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
